""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"comparison"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"is_model"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"exposure_material_1"	"exposure_material_2"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"target_pathogen_4"	"target_pathogen_5"	"target_pathogen_6"	"target_pathogen_7"	"signature_file"	"complete_signature_file"
""	"hipc_gene_21743478_13"	"2011.07"	"hipc_gene_21743478_13"	"peripheral blood mononuclear cell"	"HMGB1"	"gene expression"	"negatively"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"correlated with HAI response at 28d"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"adults (18-50)"	"21743478"	"2011"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"adults"	"18"	"50"	"years"	"13"	"237"	"HMGB1"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_21743478_13.txt"	"hipc_gene_sig_complete_21743478_13.txt"
""	"hipc_gene_21743478_13"	"2011.07"	"hipc_gene_21743478_13"	"peripheral blood mononuclear cell"	"TM9SF3"	"gene expression"	"negatively"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"correlated with HAI response at 28d"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"adults (18-50)"	"21743478"	"2011"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"adults"	"18"	"50"	"years"	"13"	"237"	"TM9SF3"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_21743478_13.txt"	"hipc_gene_sig_complete_21743478_13.txt"
""	"hipc_gene_21743478_13"	"2011.07"	"hipc_gene_21743478_13"	"peripheral blood mononuclear cell"	"TMEM263"	"gene expression"	"negatively"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"correlated with HAI response at 28d"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"adults (18-50)"	"21743478"	"2011"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"adults"	"18"	"50"	"years"	"13"	"237"	"C12orf23"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_21743478_13.txt"	"hipc_gene_sig_complete_21743478_13.txt"
""	"hipc_gene_21743478_13"	"2011.07"	"hipc_gene_21743478_13"	"peripheral blood mononuclear cell"	"NDFIP2"	"gene expression"	"negatively"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"correlated with HAI response at 28d"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"adults (18-50)"	"21743478"	"2011"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"adults"	"18"	"50"	"years"	"13"	"237"	"NDFIP2"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_21743478_13.txt"	"hipc_gene_sig_complete_21743478_13.txt"
""	"hipc_gene_21743478_13"	"2011.07"	"hipc_gene_21743478_13"	"peripheral blood mononuclear cell"	"DANCR"	"gene expression"	"negatively"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"correlated with HAI response at 28d"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"adults (18-50)"	"21743478"	"2011"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"adults"	"18"	"50"	"years"	"13"	"237"	"DANCR"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_21743478_13.txt"	"hipc_gene_sig_complete_21743478_13.txt"
""	"hipc_gene_21743478_13"	"2011.07"	"hipc_gene_21743478_13"	"peripheral blood mononuclear cell"	"UTP4"	"gene expression"	"negatively"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"correlated with HAI response at 28d"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"adults (18-50)"	"21743478"	"2011"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"adults"	"18"	"50"	"years"	"13"	"237"	"CIRH1A"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_21743478_13.txt"	"hipc_gene_sig_complete_21743478_13.txt"
""	"hipc_gene_21743478_13"	"2011.07"	"hipc_gene_21743478_13"	"peripheral blood mononuclear cell"	"CFAP36"	"gene expression"	"negatively"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"correlated with HAI response at 28d"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"adults (18-50)"	"21743478"	"2011"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"adults"	"18"	"50"	"years"	"13"	"237"	"CCDC104"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_21743478_13.txt"	"hipc_gene_sig_complete_21743478_13.txt"
""	"hipc_gene_21743478_13"	"2011.07"	"hipc_gene_21743478_13"	"peripheral blood mononuclear cell"	"C12orf75"	"gene expression"	"negatively"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"correlated with HAI response at 28d"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"adults (18-50)"	"21743478"	"2011"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"adults"	"18"	"50"	"years"	"13"	"237"	"C12orf75"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_21743478_13.txt"	"hipc_gene_sig_complete_21743478_13.txt"
""	"hipc_gene_21743478_13"	"2011.07"	"hipc_gene_21743478_13"	"peripheral blood mononuclear cell"	"FBXL3"	"gene expression"	"negatively"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"correlated with HAI response at 28d"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"adults (18-50)"	"21743478"	"2011"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"adults"	"18"	"50"	"years"	"13"	"237"	"FBXL3"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_21743478_13.txt"	"hipc_gene_sig_complete_21743478_13.txt"
""	"hipc_gene_21743478_13"	"2011.07"	"hipc_gene_21743478_13"	"peripheral blood mononuclear cell"	"KDM7A"	"gene expression"	"negatively"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"correlated with HAI response at 28d"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"adults (18-50)"	"21743478"	"2011"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"adults"	"18"	"50"	"years"	"13"	"237"	"JHDM1D"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_21743478_13.txt"	"hipc_gene_sig_complete_21743478_13.txt"
""	"hipc_gene_21743478_13"	"2011.07"	"hipc_gene_21743478_13"	"peripheral blood mononuclear cell"	"SNHG8"	"gene expression"	"negatively"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"correlated with HAI response at 28d"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"adults (18-50)"	"21743478"	"2011"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"adults"	"18"	"50"	"years"	"13"	"237"	"SNHG8"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_21743478_13.txt"	"hipc_gene_sig_complete_21743478_13.txt"
""	"hipc_gene_21743478_13"	"2011.07"	"hipc_gene_21743478_13"	"peripheral blood mononuclear cell"	"MFSD14A"	"gene expression"	"negatively"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"correlated with HAI response at 28d"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"adults (18-50)"	"21743478"	"2011"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"adults"	"18"	"50"	"years"	"13"	"237"	"MFSD14A"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_21743478_13.txt"	"hipc_gene_sig_complete_21743478_13.txt"
""	"hipc_gene_21743478_13"	"2011.07"	"hipc_gene_21743478_13"	"peripheral blood mononuclear cell"	"OCIAD2"	"gene expression"	"negatively"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"correlated with HAI response at 28d"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"adults (18-50)"	"21743478"	"2011"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"adults"	"18"	"50"	"years"	"13"	"237"	"OCIAD2"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_21743478_13.txt"	"hipc_gene_sig_complete_21743478_13.txt"
""	"hipc_gene_21743478_13"	"2011.07"	"hipc_gene_21743478_13"	"peripheral blood mononuclear cell"	"FAM214A"	"gene expression"	"negatively"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"correlated with HAI response at 28d"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"adults (18-50)"	"21743478"	"2011"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"adults"	"18"	"50"	"years"	"13"	"237"	"FAM214A"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_21743478_13.txt"	"hipc_gene_sig_complete_21743478_13.txt"
""	"hipc_gene_21743478_13"	"2011.07"	"hipc_gene_21743478_13"	"peripheral blood mononuclear cell"	"GPAM"	"gene expression"	"negatively"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"correlated with HAI response at 28d"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"adults (18-50)"	"21743478"	"2011"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"adults"	"18"	"50"	"years"	"13"	"237"	"GPAM"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_21743478_13.txt"	"hipc_gene_sig_complete_21743478_13.txt"
""	"hipc_gene_21743478_13"	"2011.07"	"hipc_gene_21743478_13"	"peripheral blood mononuclear cell"	"SMIM19"	"gene expression"	"negatively"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"correlated with HAI response at 28d"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"adults (18-50)"	"21743478"	"2011"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"adults"	"18"	"50"	"years"	"13"	"237"	"C8orf40"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_21743478_13.txt"	"hipc_gene_sig_complete_21743478_13.txt"
""	"hipc_gene_21743478_13"	"2011.07"	"hipc_gene_21743478_13"	"peripheral blood mononuclear cell"	"CNST"	"gene expression"	"negatively"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"correlated with HAI response at 28d"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"adults (18-50)"	"21743478"	"2011"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"adults"	"18"	"50"	"years"	"13"	"237"	"CNST"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_21743478_13.txt"	"hipc_gene_sig_complete_21743478_13.txt"
""	"hipc_gene_21743478_13"	"2011.07"	"hipc_gene_21743478_13"	"peripheral blood mononuclear cell"	"CDK12"	"gene expression"	"negatively"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"correlated with HAI response at 28d"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"adults (18-50)"	"21743478"	"2011"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"adults"	"18"	"50"	"years"	"13"	"237"	"CDK12"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_21743478_13.txt"	"hipc_gene_sig_complete_21743478_13.txt"
""	"hipc_gene_21743478_13"	"2011.07"	"hipc_gene_21743478_13"	"peripheral blood mononuclear cell"	"EPB41L4A-AS1"	"gene expression"	"negatively"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"correlated with HAI response at 28d"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"adults (18-50)"	"21743478"	"2011"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"adults"	"18"	"50"	"years"	"13"	"237"	"EPB41L4A-AS1"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_21743478_13.txt"	"hipc_gene_sig_complete_21743478_13.txt"
""	"hipc_gene_21743478_13"	"2011.07"	"hipc_gene_21743478_13"	"peripheral blood mononuclear cell"	"CEP95"	"gene expression"	"negatively"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"correlated with HAI response at 28d"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"adults (18-50)"	"21743478"	"2011"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"adults"	"18"	"50"	"years"	"13"	"237"	"CCDC45"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_21743478_13.txt"	"hipc_gene_sig_complete_21743478_13.txt"
""	"hipc_gene_21743478_13"	"2011.07"	"hipc_gene_21743478_13"	"peripheral blood mononuclear cell"	"CREBRF"	"gene expression"	"negatively"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"correlated with HAI response at 28d"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"adults (18-50)"	"21743478"	"2011"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"adults"	"18"	"50"	"years"	"13"	"237"	"CREBRF"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_21743478_13.txt"	"hipc_gene_sig_complete_21743478_13.txt"
""	"hipc_gene_21743478_13"	"2011.07"	"hipc_gene_21743478_13"	"peripheral blood mononuclear cell"	"CNOT6L"	"gene expression"	"negatively"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"correlated with HAI response at 28d"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"adults (18-50)"	"21743478"	"2011"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"adults"	"18"	"50"	"years"	"13"	"237"	"CNOT6L"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_21743478_13.txt"	"hipc_gene_sig_complete_21743478_13.txt"
""	"hipc_gene_21743478_13"	"2011.07"	"hipc_gene_21743478_13"	"peripheral blood mononuclear cell"	"SVIP"	"gene expression"	"negatively"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"correlated with HAI response at 28d"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"adults (18-50)"	"21743478"	"2011"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"adults"	"18"	"50"	"years"	"13"	"237"	"SVIP"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_21743478_13.txt"	"hipc_gene_sig_complete_21743478_13.txt"
""	"hipc_gene_21743478_13"	"2011.07"	"hipc_gene_21743478_13"	"peripheral blood mononuclear cell"	"RICTOR"	"gene expression"	"negatively"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"correlated with HAI response at 28d"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"adults (18-50)"	"21743478"	"2011"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"adults"	"18"	"50"	"years"	"13"	"237"	"RICTOR"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_21743478_13.txt"	"hipc_gene_sig_complete_21743478_13.txt"
""	"hipc_gene_21743478_13"	"2011.07"	"hipc_gene_21743478_13"	"peripheral blood mononuclear cell"	"PSPC1"	"gene expression"	"negatively"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"correlated with HAI response at 28d"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"adults (18-50)"	"21743478"	"2011"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"adults"	"18"	"50"	"years"	"13"	"237"	"PSPC1"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_21743478_13.txt"	"hipc_gene_sig_complete_21743478_13.txt"
""	"hipc_gene_21743478_13"	"2011.07"	"hipc_gene_21743478_13"	"peripheral blood mononuclear cell"	"CCDC50"	"gene expression"	"negatively"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"correlated with HAI response at 28d"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"adults (18-50)"	"21743478"	"2011"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"adults"	"18"	"50"	"years"	"13"	"237"	"CCDC50"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_21743478_13.txt"	"hipc_gene_sig_complete_21743478_13.txt"
""	"hipc_gene_21743478_13"	"2011.07"	"hipc_gene_21743478_13"	"peripheral blood mononuclear cell"	"FAM76B"	"gene expression"	"negatively"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"correlated with HAI response at 28d"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"adults (18-50)"	"21743478"	"2011"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"adults"	"18"	"50"	"years"	"13"	"237"	"FAM76B"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_21743478_13.txt"	"hipc_gene_sig_complete_21743478_13.txt"
